Achievement ID,Achievement Title,Element,Extraction Description,Brief Subtitle focusing on benefit to the story,Purpose,Example open-ended questions,Example brief one line sentence of the writer's answers impact,Updated Example 2-3 paragraphs of impact based on writer response from DataPoints,DataPoint Count,Est. Seconds to Complete,Dev Order,Avg Impact,Total Impact,icon options,icon name,icon color
1,Character Foundations and Identity,Character,"Includes any details related to a character's physical appearance, mannerisms, personality traits, or ethno-cultural identity that help bring the character to life. Also covers fundamental facts about a character such as their name, age, gender identity, and occupation or role that establish who they are in the story world.",Bringing characters to life through vivid descriptions and essential details,"Establishing the character's physical appearance, personality traits, and basic identity to make them feel like a real person within the story world.","• What does your character look like? Describe their appearance, mannerisms, and defining features.
• What is your character's name, age, and gender identity?
• What is your character's occupation or role within the story world?
• What personality traits make your character unique? How do these traits manifest in their behavior and interactions?",Ned Stark's stern demeanor and strong sense of honor immediately establishes him as a central moral compass in a morally gray world.,"Your attention to detail in establishing the foundations and identity of key characters like Ned Stark has set the stage for a rich and complex narrative. By describing Ned as a man in his mid-thirties with long brown hair and a solemn face, you've immediately set him apart in the colorful world of King's Landing. His Northern accent and preference for simple, practical clothing mark him as an outsider in the opulent royal court, foreshadowing the culture clash to come.

Ned's role as the Lord of Winterfell and Warden of the North establishes him as a man of significant power and responsibility. However, your choice to highlight his discomfort with political machinations and preference for direct, honorable action brilliantly sets up the central conflict he'll face when thrust into the role of Hand of the King. This contrast between Ned's stoic exterior and his gentle interactions with his children reveals a complexity that makes him instantly relatable and sympathetic to the audience. Your careful crafting of Ned's character lays the groundwork for the shocking events to come, making his eventual fate all the more impactful.",7,310,1.29,3.86,27,"• Origami face
Origami figure
Origami silhouette",appearance-and-identity,#8B4513
2,Character Core Traits and Motivations,Character,"Includes the character's fundamental values and beliefs, deepest anxieties and fears, negative traits or shortcomings, idiosyncratic traits or habits, positive qualities or skills, and standout abilities that shape who they are and drive their actions in the story.",Uncovering the essence of your characters,"Exploring the character's core beliefs, fears, flaws, quirks, strengths, and talents to create a complex and compelling persona.","• What are your character's fundamental values and beliefs? How do these shape their choices and actions?
• What are your character's deepest anxieties and fears? How do these create internal conflict?
• What flaws or shortcomings humanize your character and create potential for growth?
• What quirks or habits make your character memorable and relatable?
• What strengths or talents help your character overcome obstacles and pursue their goals?",Daenerys Targaryen's core belief in her destiny as the rightful heir to the Iron Throne drives her actions and character arc throughout the series.,"Your development of Daenerys Targaryen's core traits and motivations has created a character with immense depth and potential for growth. Her unwavering belief in her birthright and destiny to rule the Seven Kingdoms forms the foundation of her character arc, driving her transformation from a meek, abused girl to a powerful and sometimes ruthless leader. The fear of betrayal you've instilled in her, stemming from her family's history, adds a layer of complexity that will influence her decisions and relationships throughout the story.

The balance you've struck between Dany's initial naivety and her innate charisma sets up a compelling journey of self-discovery and empowerment. Her quirk of being unburnt by fire not only saves her life but also becomes a symbol of her 'dragon' heritage, setting her apart as a mythical figure. As she grows, the strength in strategy and talent for inspiring followers that you've given her will become key to her conquests. These core traits and motivations you've crafted create a complex character whose journey from victim to conqueror will be both inspiring and, ultimately, tragic. The tension you've established between her desire to be a just ruler and her belief in her absolute right to rule sets up compelling internal and external conflicts that will drive the series forward.",6,344,1.00,4.33,26,"• Origami brain
Origami magnifying glass
Origami masks",psychological-profile,#006400
3,Character Backstory and Goals,Character,"Includes any information about a character's history, past experiences, or inner desires and goals that shape who they are and drive their actions in the story.",Discovering the why behind the what of your characters,Exploring the character's past experiences and inner drives that shape their personality and goals within the story.,"• What formative events or circumstances from the character's past have shaped who they are in the present story?
• What are the character's deepest desires and goals? What motivates their choices and actions?
• What external goals is the character pursuing within the main story?
• What personal desires or internal goals drive the character's actions and decisions?","Jaime Lannister's past act of killing the Mad King, earning him the moniker 'Kingslayer', profoundly shapes his character and others' perceptions of him.","Your work on Jaime Lannister's backstory and goals has laid the foundation for one of the most complex and intriguing character arcs in the series. By establishing his past act of killing the Mad King, you've created a character branded as an oathbreaker, setting up rich dramatic possibilities. This backstory as the 'Kingslayer' is crucial to understanding Jaime's complexity, influencing how others perceive and interact with him from the very start.

The external goal you've given Jaime - protecting his family, particularly his sister-lover Cersei and their secret children - drives many of his actions in the story. This brilliantly conflicts with the internal desire you've crafted for him: to be seen as honorable and to live up to the ideals of knighthood he still holds dear, despite his cynical exterior. This tension between Jaime's past, his current reputation, and his inner desires creates a compelling character arc that will keep viewers invested. As the story progresses, the struggle you've set up between family loyalty and personal honor will become a central conflict, leading to significant character growth and unexpected alliances. Your careful crafting of Jaime's backstory and goals has created a character that challenges viewers' perceptions and adds depth to the overall narrative.",3,156,2.00,5.00,15,"• Origami thought bubble
Origami book
Origami question mark",backstory-and-motivations,#800080
4,Character Emotional Journey,Character,"Includes descriptions of a character's full spectrum of emotions, their internal arc of change over the story, pivotal moments in their growth, and core backstory wounds or unresolved issues that influence their development.",Crafting character arcs that resonate and inspire,Tracking the character's internal state and arc of growth as they navigate the story's challenges and revelations.,"• How would you describe your character's emotional state at the beginning of the story? How does this change over time?
• What are your character's highest and lowest emotional points? What do these extremes reveal about their arc of growth?
• What unresolved emotional issues or past wounds influence your character's behavior and choices?
• What key moments or revelations trigger significant emotional growth for your character?","Tyrion Lannister's journey from a cynical, self-loathing outsider to a capable leader and advisor reflects his growing self-acceptance and purpose.","Your work on mapping out the emotional journeys of characters like Tyrion Lannister has added incredible depth to the series. By starting Tyrion as a cynical, hard-drinking outsider, you've created a character ripe for growth and transformation. The core wound of family rejection, particularly his father's hatred, that you've given him manifests in self-loathing and a desperate desire to prove his worth. This emotional foundation sets the stage for a compelling arc that will keep viewers invested in his journey.

As you've planned Tyrion's journey through increasingly complex challenges, from serving as Hand of the King to fleeing as a kinslayer, you've created opportunities for his emotional state to evolve dramatically. The moments of triumph you've set up, like his leadership during the Battle of Blackwater, will boost his confidence, while devastating lows like his trial and betrayal by Shae will push him to his breaking point. This emotional rollercoaster you've crafted will make Tyrion one of the most relatable and beloved characters in the series.

Your decision to have Tyrion gradually move from seeking external validation to finding inner strength and purpose is masterful. His choice to support Daenerys Targaryen, which you've positioned as a turning point, marks the beginning of Tyrion believing in something larger than himself or his family name. This emotional journey you've mapped out not only makes Tyrion a fan-favorite character but also drives many of the political plotlines in the series. The depth of emotion you've imbued in Tyrion's character will allow for nuanced exploration of themes like self-acceptance, resilience, and the search for purpose.",4,280,2.00,4.75,19,"• Origami emotional spectrum
Origami character progression
Origami heart",emotional-journey,#800080
5,Character Voice and Communication,Character,"Includes distinctive speaking patterns, vernacular traits, internal monologues, and crucial dialogue beats that distinguish a character's unique voice and demonstrate their personality and journey.",Breathing life into characters through their voice,Developing the character's unique voice and style of expression to make them distinct and memorable.,"• How does your character express themselves? What verbal tics or quirks define their speech patterns?
• What specific phrases or types of dialogue encapsulate your character's personality?
• How does your character's way of speaking change in different situations or with different people?
• Are there any topics or phrases your character would never say? Why?",Tyrion Lannister's witty quips and sardonic observations not only define his character but often provide crucial commentary on the story's themes and events.,"Your development of Tyrion Lannister's unique voice and communication style has created one of the most memorable and quotable characters in the series. His sharp wit and penchant for self-deprecating humor, exemplified in lines like 'I drink and I know things,' not only provide comic relief but often cut to the heart of the story's themes of power, knowledge, and survival. This distinctive voice you've crafted for Tyrion will become a crucial element of his character, serving as both a weapon and a shield in the dangerous world of Westerosi politics.

The way you've tailored Tyrion's speech patterns to different audiences showcases his intelligence and adaptability. With his family, his words carry a bitter edge, reflecting their strained relationships. In contrast, when advising Daenerys or negotiating with enemies, he adopts a more measured, diplomatic tone while still maintaining his characteristic cleverness. This versatility in Tyrion's voice will allow for nuanced interactions across a wide range of scenarios.

Your plan for the evolution of Tyrion's voice throughout the series brilliantly reflects his character growth. Starting with more callous and self-serving jokes, then gradually shifting to words that carry more weight and thoughtfulness (while never losing his sardonic edge) will create a consistent yet evolving voice that makes Tyrion one of the most engaging characters in the series. This careful crafting of Tyrion's voice will not only define his character but also provide a vehicle for some of the show's most poignant commentary and memorable moments.",5,334,3.00,4.20,21,"• Origami speech bubble
Origami quotation mark
Origami microphone",voice-and-communication,#D2691E
6,Character Behavior and Decision-Making,Character,"Includes specific examples of how a character makes decisions, reacts to challenges, treats others, and faces difficult choices that reveal their personality, priorities, and growth.",Revealing character through decisive moments,Demonstrating the character's personality and growth through their responses to challenges and interactions with others.,"• How does your character typically handle conflict or disagreements?
• In what ways does your character help or hinder others? What do their actions reveal about their values?
• How does your character approach complex decisions or moral dilemmas?
• What is your character willing to sacrifice for their goals? How does this illustrate their priorities?","Ned Stark's decision to warn Cersei about his discovery of her children's true parentage showcases his honorable nature but also his political naivety, setting in motion the central conflict of the series.","Your approach to Ned Stark's behavior and decision-making process has created a character whose actions will drive much of the central conflict in the series. By establishing Ned's unwavering commitment to honor and justice, you've set him apart in the cutthroat world of King's Landing. This is beautifully exemplified in his methodical investigation of Jon Arryn's death, where he seeks the truth despite the danger. This contrast between Ned's values and the political reality of King's Landing will create tension that propels the plot forward.

Ned's willingness to help others, even at great personal risk, which you've demonstrated in his acceptance of the position of Hand of the King, sets up the central conflicts of the series. This decision, driven by his sense of duty to his friend Robert, will have far-reaching consequences. The pivotal moment you've created, where Ned warns Cersei about his discovery of her children's true parentage, is a masterstroke. It showcases both his honor and his political naivety, setting the stage for the tragic events to come.

The sacrifices you've planned for Ned, ultimately including his own life, illustrate his unwavering commitment to his principles. His final decision to falsely confess to treason in an attempt to save his daughters shows the complexity you've built into his character - a man torn between honor and family, making an impossible choice. These behaviors and decisions you've crafted for Ned not only define his character but also set the tone for the moral complexity of the entire series. Through Ned's actions, you've established a world where traditional notions of honor and virtue are often at odds with survival and political success, a theme that will resonate throughout the show.",4,274,4.00,4.50,18,"• Origami scales of justice
Origami compass
Origami helping hand",character-choices-and-actions,#F08080
7,Plot Structure and Central Conflict,Plot,"Includes a clear articulation of the central struggle between the protagonist and opposing forces, the primary obstacles in the way of the protagonist's goal, the consequences if they fail, and the various factions or forces involved.",Fueling your story with a compelling clash of wills,Defining the primary struggle between the protagonist and opposing forces that drives the story's tension and momentum.,"• What is the central conflict or struggle in your story? Who or what are the main opposing forces?
• What are the primary obstacles standing in the way of your protagonist's goal?
• What are the stakes if the protagonist fails? What are the consequences they must avoid?
• What different factions or forces are involved in this central conflict?","The struggle for the Iron Throne among various noble houses, set against the backdrop of an approaching supernatural threat, forms the core conflict that drives the entire series.","Your construction of the central conflict in Game of Thrones, revolving around the struggle for control of the Seven Kingdoms, has created a rich, multifaceted narrative that will sustain interest across multiple seasons. By personifying this conflict through the rivalries between major houses like the Starks, Lannisters, and Targaryens, you've given viewers multiple points of engagement and investment. The numerous obstacles you've placed in the characters' paths, from political intrigue and betrayals to outright warfare, provide a constant source of tension and drama.

The high stakes you've established - where failure for any of the claimants could mean death or exile - create a sense of urgency that will keep viewers on the edge of their seats. By extending the consequences of this power struggle to the realm as a whole, including war, economic devastation, and vulnerability to external threats, you've given weight to every political maneuver and battle. The addition of the looming supernatural danger of the White Walkers adds another layer of complexity and raises the stakes to existential levels.

Your inclusion of various factions like the Night's Watch, the Free Folk beyond the Wall, the mercantile forces of the Free Cities, and religious institutions like the Faith of the Seven creates a complex web of conflicting interests. This intricate political landscape you've crafted provides a backdrop for compelling character development and allows for exploration of themes like power, duty, and the nature of governance. The balance you've struck between political and supernatural threats creates a unique and engaging narrative that will set Game of Thrones apart in the fantasy genre.",5,546,1.20,3.80,19,"• Origami explosion
Origami lightning bolt
Origami fire",central-conflict,#FF0000
8,Plot Resolution and Aftermath,Plot,"Includes details on how the characters and story world are fundamentally different after the events of the climax, the final fates of subplots and secondary characters, and how these wrap-up points reinforce the story's emotional and thematic resonance.",Giving your audience a satisfying sendoff,Tying up remaining threads and establishing the characters' new normal after the climax to provide a sense of resolution.,"• How have the main characters changed as a result of the story's events? What does their 'new normal' look like?
• How are the central conflicts of the story resolved?
• What remaining subplots or character arcs need to be addressed to create a sense of closure?
• How does the resolution reinforce the story's central themes or messages?","The destruction of the Iron Throne and the establishment of an elective monarchy fundamentally changes the power structure of Westeros, reflecting the series' themes of breaking cycles and challenging traditional power structures.","Your approach to resolving the various conflicts and character arcs in Game of Thrones has created a finale that is both satisfying and thought-provoking. The destruction of the Iron Throne serves as a powerful symbolic resolution, literally breaking the 'wheel' of power that drove much of the series' conflict. This unexpected resolution to the central question of who will rule the Seven Kingdoms challenges the very notion of hereditary monarchy, reinforcing the series' themes about the nature of power and the flaws in traditional governance structures.

The way you've wrapped up individual character arcs contributes significantly to the overall message. Jon Snow's exile to the Night's Watch, despite being the rightful heir, subverts traditional fantasy tropes and reinforces the idea that duty often comes at a great personal cost. Daenerys Targaryen's death at Jon's hands serves as a tragic culmination of her arc, illustrating the corrupting influence of power and the fine line between liberator and tyrant. These resolutions you've crafted provide closure to the complex web of political and personal conflicts that drove the series, while also leaving room for the audience to imagine the future of this changed world.

Your decision to establish Bran Stark as king, chosen by a council rather than by birthright, represents a significant shift towards a more representative form of government. This ties into the series' exploration of leadership and the question of who is truly fit to rule. Meanwhile, the North's independence under Sansa Stark provides a sense of coming full circle, as the Stark family's journey began with their fight for Northern autonomy. Through these resolutions, you've created an ending that, while controversial, aims to provide closure while staying true to the series' commitment to challenging simplistic narratives.",8,912,4.00,4.13,33,"• Origami the end sign
Origami bow
Origami circular arrow",plot-denouncement,#8FBC8F
9,Sequence Setup and Purpose,Sequence,"Includes the goals of the sequence within the larger narrative, where it falls within the story structure, who the protagonist is and why their perspective matters, what the central focus is, and a brief overview of the key events and emotional journey.",Setting the stage for a powerful story unit,"Establishing the purpose, placement, and overview of the sequence within the larger narrative.","• What is the primary goal or purpose of this sequence within the overall story?
• Where does this sequence fall within the larger story structure (beginning, middle, end)?
• Who is the main character or focus of this sequence? Why is their perspective important here?
• Can you provide a brief synopsis of the key events and emotional beats in this sequence?","The opening sequence beyond the Wall establishes the supernatural threat of the White Walkers, creating a sense of dread that underlies the entire series.","Your carefully crafted opening sequence beyond the Wall serves a crucial purpose in setting the tone for the entire series. By establishing the supernatural threat of the White Walkers right from the start, you've created an ominous undercurrent that will run throughout the show. This cold open immediately grabs the audience's attention and sets the stage for the dual nature of the series' conflicts - the political intrigues of men and the existential threat from beyond.

Your choice to follow members of the Night's Watch, particularly Will, is masterful. By showing this extraordinary and terrifying encounter through the eyes of an ordinary man, you've made the threat feel more immediate and real to the audience. The key events you've included - the discovery of wildling corpses arranged in a ritual pattern, the reanimation of a dead wildling girl, and the attack by the White Walker - create a powerful emotional journey from curiosity to unease, then to outright terror.

The contrast you've set up between this supernatural opening and the more grounded political intrigue that follows is brilliant. It creates a tension that will keep viewers engaged, always aware of the greater threat looming beyond the petty squabbles of the nobles. This sequence you've crafted not only hooks the audience but also establishes the show's willingness to embrace both high fantasy elements and gritty realism, setting Game of Thrones apart from typical fantasy fare.",7,628,1.00,4.71,33,"• Origami clapperboard
Origami placeholder sign
Origami curtain",sequence-setup,#8B0000
10,Sequence Conflict and Development,Sequence,"Includes specifics on the central struggle, goals, obstacles, and tensions that create a compelling narrative arc within a single sequence, as well as the stakes for the characters involved.",Designing sequences that keep readers on the edge of their seats,"Detailing the central goal, obstacles, stakes, and conflict that create narrative tension and drive the protagonist's actions.","• What is the main character trying to achieve in this sequence?
• What obstacles or challenges stand in their way?
• How do the stakes escalate as the sequence progresses?
• What internal conflicts does the character face during this sequence?","Ned Stark's investigation of Jon Arryn's death in King's Landing creates mounting tension as he uncovers dangerous secrets, setting the stage for the larger conflict to come.","Your development of the sequence where Ned Stark investigates Jon Arryn's death is a masterclass in building tension and setting up future conflicts. By centering the sequence around Ned's goal to uncover the truth while navigating the treacherous political landscape of King's Landing, you've created a compelling narrative that draws viewers into the complex world of the show. The obstacles you've placed in Ned's path - the secretive nature of the Lannisters, the complex web of alliances and enmities at court, and Ned's own lack of skill in political manipulation - create a sense of mounting danger that keeps the audience on edge.

The way you've escalated the stakes throughout the sequence is particularly effective. What begins as a personal quest for Ned to understand his friend's death grows into a matter of national importance as he uncovers evidence that could topple the monarchy. This progression not only drives the plot forward but also deepens our understanding of Ned's character and the world he's operating in. The tension you build with each new piece of information Ned uncovers, and his growing realization of the danger he's putting himself and his family in, creates a palpable sense of dread that will keep viewers invested.

Your decision to have Ned struggle internally with the conflict between his duty to the realm and his personal honor adds depth to the sequence. His torn loyalty between his friend, King Robert, and the growing realization that pursuing the truth might lead to civil war creates a moral dilemma that resonates with the show's larger themes. This internal conflict makes Ned's choices more difficult and the outcome more uncertain, building to a climax where Ned must decide whether to reveal what he knows. This sequence you've crafted not only advances the plot but also sets up the major conflicts that will drive the rest of the season, making it a crucial piece of the overall narrative.",7,566,2.00,4.86,34,"• Origami tug of war
Origami sword fight
Origami obstacle course",sequence-conflict,#B22222
