DataPointID,Narrative Element,Subcategory,DataPoint Name,Definition/Purpose,WriterResponseExample,Data Type,Achievement Title / Grouped Train of Thought v2,# of DataPoints in Achievement / # of Grouped Train of Thought v2,Est. Seconds,Dev. Level,Impact Score
1,Character,,Ethnicity,The character's ethnicity or cultural background can influence their perspective and experiences within the story world.,Zaman's olive skin and dark hair hint at Middle Eastern or North African heritage.,text,Character Foundations and Identity,7,46,1,4
2,Character,,Physical Description,A brief description of the character's physical appearance helps readers visualize the character.,"Tall and lean, with silver hair and a neatly trimmed beard. He has a timeless quality, as if he could belong to any era.",text,Character Foundations and Identity,7,50,2,4
3,Character,,Personality Trait,A defining aspect of the character's personality or demeanor makes them feel like a real person within the story world.,"Mr. Hawkins has a gentle, patient manner that puts Lucy at ease, but there's a twinkle in his eye that suggests he knows more than he lets on.",text,Character Foundations and Identity,7,60,2,5
4,Character,,Backstory,Key events or circumstances from the character's past shape their personality and motivations in the story.,Zaman's past is a cipher - he seems to have intimate knowledge of both the timepiece and historical events. What is the source of this knowledge?,text,Character Backstory and Goals,3,60,2,5
5,Character,,External Goal,The character's external goal within the main story may align with or conflict with the protagonist's goals.,Zaman is after the same thing Lucy is - the pieces of the timepiece map. But his intentions for the completed puzzle are unknown.,text,Character Backstory and Goals,3,56,2,5
6,Character,,Internal Goal,The character's personal desires or goals drive their actions and decisions throughout the story.,Zaman's ultimate goal seems to be to possess the timepiece and control its power,text,Character Backstory and Goals,3,40,2,5
7,Character,,Age,The character's age or approximate age range provides context for their appearance and role in the story.,"Mr. Hawkins, a man in his late 60s",text,Character Foundations and Identity,7,42,1,4
8,Character,,Gender,The character's gender identity influences their traits and relationships.,"Mr. Hawkins, a gentlemanly figure",text,Character Foundations and Identity,7,36,1,3
9,Character,,Character Name,The character's name helps to identify and distinguish them from others.,Mr. Hawkins,text,Character Foundations and Identity,7,36,1,3
10,Character,,Occupation,The character's occupation or role within the story world adds depth and context to their identity.,"Mr. Hawkins, the antique shop owner",text,Character Foundations and Identity,7,40,1,4
11,Story,,Protagonist's Overarching Goal,The ultimate objective or desire that motivates the protagonist throughout the story. Establishing the protagonist's overarching goal gives the story direction and purpose.,"Initially, Lucy simply wants to get back home. But as she learns the extent of the timepiece's power, her goal shifts to protecting it from those who would misuse it, and preserving the integrity of history. On a deeper level, she wants to prove her own capability and find her place in the world.",text,Story Core Elements and Characters,4,112,1,5
12,Story,,Primary Obstacle,The main force or situation that opposes the protagonist's goals. The primary obstacle creates tension and drives the story forward.,Lucy must race against time to collect the scattered pieces of an ancient map that will help her understand the timepiece's power before it falls into the wrong hands. But Zaman always seems to be one step ahead of her. The timepiece itself is unpredictable and Lucy must learn to navigate its caprices as it takes a physical and emotional toll on her.,text,Story Conflict and Stakes,4,116,2,5
13,Story,,Stakes,The consequences if the protagonist fails to achieve their goal. High stakes raise the tension and make the audience invested in the outcome.,"If Lucy fails, the timepiece's power could be used to manipulate history with catastrophic consequences. On a personal level, Lucy risks being stranded in the past forever, losing her family and the future she knows. As she races against the clock, she also begins to suspect that the timepiece is taking a toll on her health, making each trip more perilous.",text,Story Conflict and Stakes,4,120,2,5
