New Summary ID,Narrative Element,Page,Section / Component,Name,Combined Name,Length,Purpose,Example,# DataPoints
1,Achievement,-,Achievement Card,Impact One-Liner,-- Achievement Card- Impact One-Liner,1 brief sentence,"Summarize the most important way this achievement helps develop the story, to motivate the writer.",,0
2,Achievement,-,Achievement Card,[Per Category] Impact Summary,-- Achievement Card- [Per Category] Impact Summary,3-4 sentences,"Explain how this achievement contributes to the development of its specific category (character, plot, etc.), to help the writer understand its value.",,0
3,Achievement,-,Brainstorm Achievement Card,Exploration Title,-- Brainstorm Achievement Card- Exploration Title,1 brief title,"Highlight the key story element developed through data point exploration, to pique writer's curiosity.",,0
4,Achievement,-,Brainstorm Achievement Card,Card Summary Purpose,-- Brainstorm Achievement Card- Card Summary Purpose,1 brief sentence,"Express the benefit of this achievement to the story's development, to motivate completion.",,0
5,Achievement,Achievement Detail Page,"Header, Achievement Card",Developed,"Achievement Detail Page- Header, Achievement Card- Developed",1-2 paragraphs,"Analyze how exploration of the achievement topic advanced the specific story element, to appreciate progress and guide revision.",,0
6,Achievements,Achievements Detail Page,-,Developed in this Achievement,Achievements Detail Page- -- Developed in this Achievement,1-2 paragraphs,"Analyze how exploration of the achievement topic advanced the specific story element, to appreciate progress and guide revision.","Defining the knight's core motivation as a secret quest for redemption rather than glory recontextualizes his previous actions, adding new depth to his character and relationships. The reveal that he accidentally killed his own brother in battle creates a clearer arc of guilt, atonement, and self-forgiveness. This achievement sets up a more active and emotionally resonant conclusion to his journey.",0
7,Story,Story Detail Page,Arc,Setup,Story Detail Page- Arc- Setup,1 brief paragraph,"Introduce the protagonist's world before the inciting incident, to establish stakes for change.",,2
8,Story,Story Detail Page,Arc,Inciting Incident,Story Detail Page- Arc- Inciting Incident,1 brief paragraph,"Describe the event that disrupts the status quo and launches the story, to kick off the narrative.",,1
9,Story,Story Detail Page,Arc,Trials and Complications,Story Detail Page- Arc- Trials and Complications,1 brief paragraph,"Summarize the main challenges the protagonist faces in rising action, to escalate conflict.",,3
10,Story,Story Detail Page,Arc,Midpoint Twist,Story Detail Page- Arc- Midpoint Twist,1 brief paragraph,"Reveal the major reversal or new information at the midpoint, to shift the story trajectory.",,1
11,Story,Story Detail Page,Arc,Crisis Point,Story Detail Page- Arc- Crisis Point,1 brief paragraph,"Explain the protagonist's lowest point and stakes of failure, to set up the final push.",,2
12,Story,Story Detail Page,Arc,Climax,Story Detail Page- Arc- Climax,1 brief paragraph,"Narrate the final confrontation and resolution of the core conflict, to deliver a satisfying ending.",,3
13,Story,Story Detail Page,Arc,Resolution,Story Detail Page- Arc- Resolution,1 brief paragraph,"Show the new normal for the characters and world after the climax, to illustrate lasting change.",,2
14,Story,Story Detail Page,Arc,Hook,Story Detail Page- Arc- Hook,1 brief paragraph,"Entice with an intriguing story promise or question, to convince the audience to keep reading/watching.",,2
15,-,,Moment Card,Highlighted Moment,- Moment Card- Highlighted Moment,1 brief paragraph,"Highlight a key scene, revelation, or turning point that advances character development or plot.","At the midpoint, the protagonist uncovers a secret linking the antagonist to her own troubled past, setting up a personal reckoning.",0
16,Character,-,Character Card,Character Card Summary,-- Character Card- Character Card Summary,1 brief sentence,"Encapsulate the character's key traits and role, to provide a quick reference.",,15
17,Character,Character Detail Page,,Key Motivation and Personality,Character Detail Page- - Key Motivation and Personality,1 sentence,"Summarize the character's primary goal and relevant traits, to justify their role in the story.","Driven by curiosity and a strong moral code, the journalist pursues the truth at any cost, often neglecting personal relationships in the process.",5
18,Character,Character Detail Page - Arcs Subpage - Arc,Character Arc,Setup,Character Detail Page - Arcs Subpage - Arc- Character Arc- Setup,1 brief paragraph,"Establish the character's status quo, key relationships, and unfulfilled desires before the inciting incident.","As a brilliant but aloof scientist, the character is consumed by her research, neglecting personal connections and suppressing a longing for companionship.",3
19,Character,Character Detail Page - Arcs Subpage - Arc,Character Arc,Inciting Incident,Character Detail Page - Arcs Subpage - Arc- Character Arc- Inciting Incident,1 brief paragraph,Describe the event that upends the character's world and sparks their journey.,"A mysterious benefactor offers to fund the character's research, but only if she partners with a charming and unconventional colleague.",1
20,Character,Character Detail Page - Arcs Subpage - Arc,Character Arc,Trials and Complications,Character Detail Page - Arcs Subpage - Arc- Character Arc- Trials and Complications,1 brief paragraph,"Summarize the challenges and obstacles the character faces, forcing them to adapt and grow.","As the research takes unexpected turns, the character must confront her own biases, communicate with her new partner, and question the motives of her benefactor.",7
21,Character,Character Detail Page - Arcs Subpage - Arc,Character Arc,The Midpoint Twist,Character Detail Page - Arcs Subpage - Arc- Character Arc- The Midpoint Twist,1 brief paragraph,Reveal a game-changing revelation or reversal that raises the stakes for the character.,"The character discovers her research is being used for nefarious purposes, forcing her to choose between her life's work and her moral code.",2
22,Character,Character Detail Page - Arcs Subpage - Arc,Character Arc,The Crisis Point,Character Detail Page - Arcs Subpage - Arc- Character Arc- The Crisis Point,1 brief paragraph,"Put the character at their lowest point, facing their greatest fear or confronting their deepest flaw.","Betrayed by her partner and doubting her own judgment, the character must decide whether to abandon her principles or risk everything to do what's right.",4
23,Character,Character Detail Page - Arcs Subpage - Arc,Character Arc,The Climax,Character Detail Page - Arcs Subpage - Arc- Character Arc- The Climax,1 brief paragraph,Show the character's pivotal choice or action that determines their fate and the story's outcome.,"In a final showdown, the character outsmarts her adversaries using a combination of her intellect, newfound empathy, and trust in her partner.",5
24,Character,Character Detail Page - Arcs Subpage - Arc,Character Arc,The Resolution,Character Detail Page - Arcs Subpage - Arc- Character Arc- The Resolution,1 brief paragraph,"Illustrate the character's new normal, reflecting on lessons learned and growth achieved.","With her research safe and a newfound appreciation for human connection, the character embraces a more balanced and fulfilling life, open to new possibilities.",3
25,Character,Character Detail Page - Arcs Subpage - Arc - Episode Impact,Episode Impact,Character Arc in Relation to Series Arc,Character Detail Page - Arcs Subpage - Arc - Episode Impact- Episode Impact- Character Arc in Relation to Series Arc,1 sentence,Connect the character's episode journey to their overarching series transformation.,This episode plants the seeds for the character's gradual shift from lone wolf to team player.,2
26,Character,Character Detail Page - Arcs Subpage - Arc - Episode Impact,Episode Impact,Character Arc Areas of Growth,Character Detail Page - Arcs Subpage - Arc - Episode Impact- Episode Impact- Character Arc Areas of Growth,1 sentence,Pinpoint the key areas of growth or change the character experiences in this episode.,"Through this adventure, the character learns to trust others and value diverse perspectives.",12
27,Character,Character Detail Page - Arcs Subpage - Arc - Episode Impact,Episode Impact,Character Arc Key Choices Made,Character Detail Page - Arcs Subpage - Arc - Episode Impact- Episode Impact- Character Arc Key Choices Made,1 sentence,Highlight a pivotal decision the character makes that shapes their episode arc.,"By choosing to confide in her partner, the character takes a crucial step towards vulnerability and collaboration.",1
28,Character,Character Detail Page - Arcs Subpage - Series Arc,Series Arc,Setup,Character Detail Page - Arcs Subpage - Series Arc- Series Arc- Setup,1 brief paragraph,"Introduce the character's central flaw, desire, and key relationships that will fuel their series arc.","Brilliant but emotionally detached, the character yearns for a breakthrough that will cement her legacy, keeping friends and family at arm's length.",4
29,Character,Character Detail Page - Arcs Subpage - Series Arc,Series Arc,Inciting Incident,Character Detail Page - Arcs Subpage - Series Arc- Series Arc- Inciting Incident,1 brief paragraph,Present the catalytic event that sets the character's series-long transformation in motion.,"When a once-in-a-lifetime research opportunity requires collaboration, the character must confront her inability to connect with others.",1
30,Character,Character Detail Page - Arcs Subpage - Series Arc,Series Arc,Trials and Complications,Character Detail Page - Arcs Subpage - Series Arc- Series Arc- Trials and Complications,1 brief paragraph,Outline the overarching conflicts and challenges the character will face throughout the series.,"As the stakes escalate and relationships strain, the character must navigate complex moral dilemmas, personal insecurities, and the consequences of her single-minded ambition.",4
31,Character,Character Detail Page - Arcs Subpage - Series Arc,Series Arc,The Midpoint Twist,Character Detail Page - Arcs Subpage - Series Arc- Series Arc- The Midpoint Twist,1 brief paragraph,Tease a major revelation or shift that will redefine the character's series journey at the midpoint.,"A shocking betrayal by a trusted ally forces the character to question everything she believes in, setting her on a path of self-discovery and redemption.",2
32,Character,Character Detail Page - Arcs Subpage - Series Arc,Series Arc,The Crisis Point,Character Detail Page - Arcs Subpage - Series Arc- Series Arc- The Crisis Point,1 brief paragraph,"Foreshadow the character's darkest hour, where they will face their deepest fear or greatest weakness.","Isolated, disillusioned, and on the brink of losing everything, the character must confront the emptiness of her success and the toll her choices have taken on those closest to her.",4
33,Character,Character Detail Page - Arcs Subpage - Series Arc,Series Arc,The Climax,Character Detail Page - Arcs Subpage - Series Arc- Series Arc- The Climax,1 brief paragraph,Hint at the character's ultimate test of growth and transformation in the series climax.,"In a final act of self-sacrifice, the character must choose between her personal ambition and the greater good, proving she has learned to value human connection over individual achievement.",4
34,Character,Character Detail Page - Arcs Subpage - Series Arc,Series Arc,The Resolution,Character Detail Page - Arcs Subpage - Series Arc- Series Arc- The Resolution,1 brief paragraph,"Envision the character's series epilogue, reflecting their growth, newfound purpose, and changed relationships.","With a renewed sense of empathy and perspective, the character dedicates her work to bettering lives, surrounded by the friends and family she once kept at a distance.",4
35,Character,Character Detail Page - Arcs Subpage - Arc - Episode Impact,Episode Impact,Favorite Moment Item,Character Detail Page - Arcs Subpage - Arc - Episode Impact- Episode Impact- Favorite Moment Item,1 sentence,Describe a standout scene that encapsulates the character's series journey in this episode.,The character's heartfelt apology to her partner marks a turning point in her emotional growth.,2
36,Character,Character Detail Page - Arcs Subpage - Series Arc - Series Milestones,Series Arc,Favorite Moment Item,Character Detail Page - Arcs Subpage - Series Arc - Series Milestones- Series Arc- Favorite Moment Item,1 sentence,Identify a defining moment that epitomizes the character's overall growth and transformation in the series.,"In the series finale, the character's heartfelt reunion with her estranged sibling encapsulates her hard-won understanding of the power of human connection.",2
37,Character,Character Detail Page - Backstory Subpage - Backstory,,Early Life,Character Detail Page - Backstory Subpage - Backstory- - Early Life,1 brief paragraph,"Provide context for the character's background, touching on key elements of childhood, family, and environment.","Raised by a single mother in a hardscrabble neighborhood, she found escape in science books and the local library.",6
38,Character,Character Detail Page - Backstory Subpage - Backstory,,Family Dynamics,Character Detail Page - Backstory Subpage - Backstory- - Family Dynamics,1 brief paragraph,Explore early family relationships that shaped the character's personality and worldview.,Her mother's tireless work ethic and her father's abandonment instilled a fierce independence and distrust of relying on others.,2
39,Character,Character Detail Page - Backstory Subpage - Backstory,,Education and Training,Character Detail Page - Backstory Subpage - Backstory- - Education and Training,1 brief paragraph,Summarize the character's formative educational experiences and acquired skills.,"Excelling in academia from an early age, she earned a presitigious scholarship to study bioengineering, going on to earn her PhD at a top-tier institution.",1
40,Character,Character Detail Page - Backstory Subpage - Backstory,,Traumatic Events,Character Detail Page - Backstory Subpage - Backstory- - Traumatic Events,1 brief paragraph,"Reveal defining tragedies, failures, or hardships that left lasting scars.",The sudden loss of her mother to illness during grad school drove her to bury herself in work at the expense of processing her grief.,4
41,Character,Character Detail Page - Backstory Subpage - Backstory,,Reputation,Character Detail Page - Backstory Subpage - Backstory- - Reputation,1 brief paragraph,Describe how the character was seen by others before the events of the story.,"Respected for her brilliance but notorious for her brusque demeanor, her scientific accomplishments often overshadowed her interpersonal shortcomings.",3
