SummaryID,Morphable Type,Morphable ID,Required DataPoint,Summary (only for Google Sheets),Data Point (only for Google Sheets)
144,DataPoint,12,,Story - Header - Story Logline,Story - Primary Obstacle
144,DataPoint,19,,Story - Header - Story Logline,Story - Key Characters
144,DataPoint,20,,Story - Header - Story Logline,Story - Key Relationships
144,DataPoint,22,,Story - Header - Story Logline,Story - Impact on Plot and Theme
144,DataPoint,41,,Story - Header - Story Logline,Plot - Thematic Cohesion
144,DataPoint,44,,Story - Header - Story Logline,Plot - Status Quo
144,DataPoint,83,,Story - Header - Story Logline,Story - Exploring
144,DataPoint,86,TRUE,Story - Header - Story Logline,Story - Premise
144,DataPoint,88,,Story - Header - Story Logline,Story - Setup
144,DataPoint,89,,Story - Header - Story Logline,Story - Inciting Incident
144,DataPoint,101,,Story - Header - Story Logline,Story - Unique Elements
1,Achievement,-,TRUE,Achievement - Achievement Card - Impact One-Liner,
2,Achievement,-,TRUE,Achievement - Achievement Card - [Per Category] Impact Summary,
63,,,,Clarify - Clarify Card - Title,
64,,,,Clarify - Clarify Card - Discrepancy,
168,DataPoint,130,,User - User Bio - Bio,Writer - Origin Story
168,DataPoint,131,,User - User Bio - Bio,Writer - Storytelling Strengths
168,DataPoint,132,,User - User Bio - Bio,Writer - Unique Perspective
168,DataPoint,133,,User - User Bio - Bio,Writer - Writing Motivation
168,DataPoint,134,,User - User Bio - Bio,Writer - Desired Impact
168,DataPoint,140,,User - User Bio - Bio,Writer - Distinctive Voice
168,DataPoint,146,,User - User Bio - Bio,Writer - Themes
169,DataPoint,134,,User - User Goals - Writing Goals,Writer - Desired Impact
169,DataPoint,135,,User - User Goals - Writing Goals,Writer - Long-Term Aspirations
169,DataPoint,136,,User - User Goals - Writing Goals,Writer - Short-Term Objectives
169,DataPoint,137,,User - User Goals - Writing Goals,Writer - Target Audience
169,DataPoint,144,,User - User Goals - Writing Goals,Writer - Formats
16,DataPoint,1,,Character - Character Card - Character Card Summary,Character - Ethnicity
16,DataPoint,2,,Character - Character Card - Character Card Summary,Character - Physical Description
16,DataPoint,3,,Character - Character Card - Character Card Summary,Character - Personality Trait
16,DataPoint,7,,Character - Character Card - Character Card Summary,Character - Age
16,DataPoint,8,,Character - Character Card - Character Card Summary,Character - Gender
16,DataPoint,9,,Character - Character Card - Character Card Summary,Character - Character Name
16,DataPoint,10,,Character - Character Card - Character Card Summary,Character - Occupation
16,DataPoint,29,,Character - Character Card - Character Card Summary,Character - Emotional Wound
16,DataPoint,30,,Character - Character Card - Character Card Summary,Character - Ghost
16,DataPoint,51,,Character - Character Card - Character Card Summary,Character - Core Beliefs
16,DataPoint,52,,Character - Character Card - Character Card Summary,Character - Fears
16,DataPoint,53,,Character - Character Card - Character Card Summary,Character - Flaws
16,DataPoint,54,,Character - Character Card - Character Card Summary,Character - Quirks
16,DataPoint,55,,Character - Character Card - Character Card Summary,Character - Strengths
16,DataPoint,56,,Character - Character Card - Character Card Summary,Character - Talents/Skills
91,DataPoint,42,,Plot - Plot Card - Plot Card Title,Plot - Introduction of Central Conflict
91,DataPoint,43,,Plot - Plot Card - Plot Card Title,Plot - Protagonist's Initial Goal
91,DataPoint,44,,Plot - Plot Card - Plot Card Title,Plot - Status Quo
91,DataPoint,45,,Plot - Plot Card - Plot Card Title,Plot - Introduction of Key Allies and Adversaries
91,DataPoint,105,,Plot - Plot Card - Plot Card Title,Plot - Establishing Stakes
92,DataPoint,12,,Plot - Plot Card - Plot Card Summary,Story - Primary Obstacle
92,DataPoint,34,,Plot - Plot Card - Plot Card Summary,Story - Key Visuals
92,DataPoint,35,,Plot - Plot Card - Plot Card Summary,Story - Protagonist's Choices
92,DataPoint,36,,Plot - Plot Card - Plot Card Summary,Story - Emotional Beats
92,DataPoint,38,,Plot - Plot Card - Plot Card Summary,Plot - Tying Up Loose Ends
92,DataPoint,39,,Plot - Plot Card - Plot Card Summary,Plot - Plot Type
92,DataPoint,40,,Plot - Plot Card - Plot Card Summary,Story - Pacing and Rhythm
92,DataPoint,41,,Plot - Plot Card - Plot Card Summary,Plot - Thematic Cohesion
92,DataPoint,42,,Plot - Plot Card - Plot Card Summary,Plot - Introduction of Central Conflict
92,DataPoint,43,,Plot - Plot Card - Plot Card Summary,Plot - Protagonist's Initial Goal
92,DataPoint,44,,Plot - Plot Card - Plot Card Summary,Plot - Status Quo
92,DataPoint,45,,Plot - Plot Card - Plot Card Summary,Plot - Introduction of Key Allies and Adversaries
128,DataPoint,99,,Setting - Setting Card - Setting Card Title,Story - Magic/Technology System
128,DataPoint,100,,Setting - Setting Card - Setting Card Title,Story - Story Setting
128,DataPoint,101,,Setting - Setting Card - Setting Card Title,Story - Unique Elements
129,DataPoint,99,,Setting - Setting Card - Setting Card Summary,Story - Magic/Technology System
129,DataPoint,100,,Setting - Setting Card - Setting Card Summary,Story - Story Setting
129,DataPoint,101,,Setting - Setting Card - Setting Card Summary,Story - Unique Elements
125,DataPoint,4,,"Series - Header, Series Card - Series Logline",Character - Backstory
